id	class	name_en	name_de	long_name_en	long_name_de	lat	lon	location	description_en	description_de	founded	url	logo	wp_entity_tag_id_en	wp_entity_tag_id_de	links	notes
ACCOBAMS	InternationalForum	ACCOBAMS	ACCOBAMS	Agreement on the Conservation of Cetaceans in the Black Sea, Mediterranean Sea and contiguous Atlantic Area	Abkommen zur Erhaltung der Wale und Delfine im Schwarzen Meer, im Mittelmeer und im angrenzenden Atlantik	43.73090	7.41650	Secretariat in Monaco	Since 2004, OceanCare has been a partner organisation of the Agreement on the Conservation of Cetaceans in the Black Sea, Mediterranean Sea and contiguous Atlantic Area (ACCOBAMS), contributing its expertise in the areas of species conservation, underwater noise, plastic pollution and bycatch.	Seit 2004 ist OceanCare Partnerorganisation des Abkommens zur Erhaltung der Wale und Delfine im Schwarzen Meer, im Mittelmeer und im angrenzenden Atlantik (ACCOBAMS) und bringt ihre Expertise in den Bereichen Artenschutz, Unterwasserlärm, Plastikverschmutzung und Beifang ein.						AdvocacyWork, AnimalAndSpeciesConservation, ClimateProtection, DolphinsAndSmallCetaceans, EasternMediterraneanSea, FossilFuels, OceanConservation, OceanNoisePollution, Orcas, PlasticPollution, SAVEWhales, Shipping, WesternMediterraneanSea, Whales	
ASCOBANS	InternationalForum	ASCOBANS	ASCOBANS	Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas	Abkommen zur Erhaltung der Kleinwale der Ostsee, des Nordostatlantiks sowie der Irischen See und der Nordsee	50.71938	7.12599	Secretariat, UN Campus, Bonn, Germany	The Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas (ASCOBANS) aims to promote close international cooperation among nations to achieve and maintain a favourable conservation status for small whales, dolphins, and porpoises. OceanCare contributes its expertise in the areas of species conservation, climate change impacts, animal welfare, the protection of marine habitats, and marine pollution.	Das Abkommen zur Erhaltung der Kleinwale der Ostsee, des Nordostatlantiks sowie der Irischen See und der Nordsee (ASCOBANS) fördert die enge internationale Zusammenarbeit zwischen den Vertragsstaaten, um einen günstigen Erhaltungszustand von Kleinwalen, Delfinen und Schweinswalen zu erreichen und langfristig zu sichern. OceanCare bringt ihre Expertise in den Bereichen Artenschutz, Auswirkungen des Klimawandels, Tierwohl, Schutz mariner Lebensräume und Meeresverschmutzung ein.						AdvocacyWork, AnimalAndSpeciesConservation, BalticSea, Whales	
AbidjanConvention	InternationalForum	Abidjan Convention	Abidjan-Konvention			5.36756	-3.98766	Headquartered Abidjan, Côte d'Ivoire	Since 2017, OceanCare has been involved in the Conference of the Parties to the Abidjan Convention, which addresses the state of the seas and coastal areas in West, Central and Southern Africa, as well as the protection of endangered marine animals from poaching	Seit 2017 engagiert sich OceanCare an Vertragsstaatenkonferenzen der Abidjan-Konvention, die sich um den Zustand der Meere und Küstengebiete in West-, Zentral- und Südafrika sowie um den Schutz gefährdeter Meerestiere vor Wilderei kümmert.						AdvocacyWork, AnimalAndSpeciesConservation, AquaticWildMeat, Benin, DolphinsAndSmallCetaceans, Fisheries, Hunting, Manatees, SeaTurtles, Sharks	
BBNJ	InternationalForum	BBNJ Agreement	BBNJ-Abkommen		Hochseeschutzabkommen	40.74944	-73.96806	UN Headquarter, NY - ad interim	OceanCare has been monitoring the development of the BBNJ Agreement since 2007, actively supported the intergovernmental negotiations from 2018 to 2023, and has consistently advocated for its rapid ratification and implementation following the adoption of the treaty text.	OceanCare verfolgt den Entstehungsprozess des BBNJ-Abkommens seit 2007, begleitete die zwischenstaatlichen Verhandlungen von 2018 bis 2023 aktiv und setzte sich nach der Verabschiedung des Vertragstextes konsequent für eine rasche Ratifizierung und Implementierung des Abkommens ein.						AdvocacyWork, AnimalAndSpeciesConservation, HSA, OceanConservation, OceanNoisePollution, PlasticPollution, SeasAtRisk	
CBD	InternationalForum	CBD	CBD	Convention on Biological Diversity	Übereinkommen über die biologische Vielfalt	45.50178	-73.56021	Secretariat, Montreal, Canada	In 2021, OceanCare was granted observer status at the UN Convention on Biological Diversity and now contributes its expertise on various topics to the CBD and its global action plan, the Kunming-Montreal Global Biodiversity Framework.	2021 erlangte OceanCare Beobachterstatus beim UN-Übereinkommen über die biologische Vielfalt und kann ihre Expertise zu diversen Themen bei CBD sowie dessen globalem Aktionsplan, dem Kunming-Montreal Global Biodiversity Framework, einbringen.						AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, Fish, Manatees, OceanNoisePollution, PolarBears, SeaTurtles, Seals, Sharks, Whales	
CMSBonnConvention	InternationalForum	CMS/Bonn Convention	CMS/Bonn Convention	Convention on the Conservation of Migratory Species of Wild Animals	Übereinkommen zur Erhaltung der wandernden wild lebenden Tierarten	50.71938	7.12599	UN Campus, Bonn, Germany	CMS is part of the UN Environment Programme and is dedicated to the conservation of migratory wildlife. OceanCare has been a partner organisation since 2016 and is committed to the protection of marine animals and the marine environment.	CMS ist Teil des Umweltprogramms der Vereinten Nationen und widmet sich dem Schutz wandernder wildlebender Tierarten. OceanCare ist seit 2016 Partnerorganisation und setzt sich für den Schutz der Meerestiere und des Lebensraums Meer ein.	2016					AnimalAndSpeciesConservation, AquaticWildMeat, DolphinsAndSmallCetaceans, Fish, Hunting, OceanNoisePollution, SeaTurtles, Sharks, Whales	
EUCommission	InternationalForum	EU Commission	EU-Kommission			50.84361	4.38278	Brussels, Belgium	Since 2014, OceanCare has been a member of the Marine Strategy Coordination Group and of the working group responsible for implementing the new Marine Strategy Framework Directive (MSFD), which requires European coastal states to improve the health of the marine environment within their territorial waters. Dr Lindy Weilgart and Nicolas Entrup are members of the EU’s technical working group on underwater noise.	OceanCare ist seit 2014 Mitglied der Koordinierungsgruppe für die Meeresstrategie (MSCG) und der Arbeitsgruppe für die Implementierung der neuen Meeresstrategie-Rahmenrichtlinie (MSRL), die europäische Meeresanrainerstaaten dazu verpflichtet, in ihren Hoheitsgewässern den Zustand der Meereswelt zu verbessern. In der technischen EU-Arbeitsgruppe zu Unterwasserlärm arbeiten Dr. Lindy Weilgart und Nicolas Entrup mit.						AdvocacyWork, AnimalAndSpeciesConservation, ClimateProtection, DeepSeaMining, DolphinsAndSmallCetaceans, Fish, Fisheries, FossilFuels, Hunting, OceanConservation, OceanNoisePollution, PlasticPollution, Shipping, Whales	
FAOCOFI	InternationalForum	FAO/COFI	FAO/COFI	Committee on Fisheries of the Food and Agriculture Organization	Fischereiausschuss der Welternährungsorganisation der Vereinten Nationen	41.88395	12.48332	FAO Headquarters, Rome, Italy	As part of the International Ocean Noise Coalition, OceanCare has been drawing attention to serious risks to fish within the Committee on Fisheries (COFI) of the Food and Agriculture Organisation (FAO) since 2009, and is working, amongst other things, to ensure that the socio-economic impacts of marine noise pollution on fish and fisheries are investigated.	Im Rahmen der International Ocean Noise Coalition verweist OceanCare seit 2009 im Fischereiausschuss (COFI) der Welternährungsorganisation (FAO) auf schwerwiegende Gefahren für Fische und wirkt unter anderem darauf hin, dass die sozioökonomischen Auswirkungen der Lärmverschmutzung der Meere auf Fischbestände und auf die Fischerei untersucht werden.						AdvocacyWork, AnimalAndSpeciesConservation, Fish, Fisheries	
FAOGFCM	InternationalForum	FAO/GFCM	FAO/GFCM	General Fisheries Commission for the Mediterranean of the Food and Agriculture Organization	Allgemeine Kommission für die Fischerei im Mittelmeer der Welternährungsorganisation der Vereinten Nationen	41.88395	12.48332	FAO Headquarters, Rome, Italy	Since 2016, OceanCare has been a partner organisation of the General Fisheries Commission for the Mediterranean (GFCM) of the Food and Agriculture Organization (FAO) and contributes its expertise in the areas of underwater noise, bycatch, plastic pollution, illegal fishing activities and ocean governance.	Seit 2016 ist OceanCare Partnerorganisation der Allgemeine Kommission für die Fischerei im Mittelmeer (GFCM) der Welternährungsorganisation (FAO) und bringt ihre Expertise in den Bereichen Unter­wasserlärm, Beifang, Plastikverschmutzung sowie zu illegalen Fischereiaktivitäten und Meeresgovernance ein.	2016					AdvocacyWork, AnimalAndSpeciesConservation, Fish, Fisheries, OceanNoisePollution, PlasticPollution	
IMO	InternationalForum	IMO	IMO	International Maritime Organization	Internationale Seeschifffahrts-Organisation	51.49075	-0.12457	Secretariat in London, UK	Bitte Text ergänzen	Bitte Text ergänzen						AdvocacyWork, AnimalAndSpeciesConservation, ChemicalPollution, ClimateProtection, FossilFuels, OceanNoisePollution, Shipping, Whales	Description reads 'Bitte Text ergaenzen' in both languages.
